,Item,Food_Contains,Food_Category,Classification,FoodID
0,whole milk,whole,milk,dairy,F1085/F1084/F45/F52/F37/F31/F1086/F51/F1100/F32
1,rolls/buns,,roll/bun,bread,A181/U26/A130/A25/H1043/H208/H204/H211/H140/H141/A180/A186/A185/H206/A182/H214/U23/H209/H213/A178/A1125/A179/A231/A232/A206/H215/H205/A131/A183/H207/A184/U31/H212/H1002/A1126/H1044
2,broccoli,,Broccoli,,X1021/X1221/X1020/X1022/X1219/X1220
3,soda,soda,Soft drink,drink,C81
4,yogurt,,yoghurt,dairy,F77/F1055/F1077/F1072/F84/F1052/Q1033/F1080/F1083/F1081/E43/F1079/Q1036/F1073/F1082/F57/F1053/F117/F1054/Q1035/F1076/F1074/Q1034/F1078/F1075/F108
5,potatoes,,Potato/Carrot/Beet/Turnip,,X1114/X1136/H1045/X104/X327/X317/X323/X1115/X326/X1181/X1179/X1139/X313/X95/X91/X1118/X1173/X1033/H152/X1177/X1112/X316/X1113/X325/X1172/X1116/X88/X1138/X90/X1171/X318/X1174/X89/X1165/H158/X320/X1145/X1141/X1178/X130/X324/X103/X1137/X1170/H47/X321/X92/X32/X314/X1096/X329/X30/X1037/X1111/X1169/X155/X319/X328/X1182/X1166/X93/X1176/H181/X100/X154/X322/X1228/X1117/X101/X94/X1175/X97/X102/X315/X129/X98/X1183/U11/X1227/X1180/X1143/X1184/X128/X1032
6,bananas,,Banana,,X1193/X1192/L222/L1101/X1191/L186
7,bottled water,bottled,water,drink,C42/C41
8,sausage,,sausage,sausage,N1030/N1017/H1043/N1032/N38/N1036/N9/N1029/N1028/N63/N1034/N1016/N1027/N61/N62/N21/N29/N30/N1038/N1021/N1035/N1022/N1024/H145/N1023/N19/N14/N60/N1025/N6/N1018/N1031/N1019/N1020/N1039/N39/N1015/N42/N43/N2/N59/H1002/N64/H1044/N1026/N1033
9,oranges,,Lemon/Orange,,L1155/P5/K80/C1103/K34/K79/K81/L183/L184/L1170/L1182/R5416/K78/L92
10,pastry,,pastry,bread,R5407/R5402/R5403/R5427/R5413/R5406/R5405/R5404
11,apples,,Apple/pear,,L210/L3/L138/L1133/L13/L144/L137/L204/L133/L1164/L9/L1165/L1135/L7/L135/L10/L1130/L2/L1185/L1134/L130/L15/L197/L1154/L1131/L5/L17/L131/L1181/L220/L1184/L1152/L192/L4/L11/L1151/L1163/L16/L1015/L1132/L14/L12/L1180/L8/L134/L1/L1153/L1150
12,canned beer,,beer,beer,B1018/B1016/B9/B35/B5/B1015/B1017
13,bottled beer,,beer,beer,B1018/B1016/B9/B35/B5/B1015/B1017
14,whipped/sour cream,sour,cream,,F100/F23
15,frankfurter,frankfurter,sausage,sausage,N6
16,brown bread,grain,bread,bread,A212/A163/A1021/A180/A1048/A186/A185/A42/A162/A1049/A43/A1010/A1015/A160/A178/A157/A211/A153/A179/A156/A1053/A231/A232/A158/A1045/A1051/A1050/A1100/A159/A161/A1024/A184/A1009/A154
17,domestic eggs,,egg,,G1001/G1010/X1084/G1004/G1012/X1086/G1003/G1/G4/X1087/G1005/G1011/H153/G1002/X1088/G1008/X1083/G1009/G2
18,pork,,pork,,M95/M409/M468/M91/N1042/M449/M415/N1040/M286/M416/M124/M509/N1045/N1043/M282/M532/M539/N34/M439/N1046/M96/N33/M90/M434/M99/M620/M505/M433/N32/M404/M125/M485/M417/M278/M83/M411/M89/M93/M458/N8/M84/M275/M442/M109/N1047/H1014/M441/M533/M524/M469/M490/M285/N35/N1010/M94/N1049/M92/M443/M120/M452/N1048/N1041/M476/M97/M597/M429/M514/M413/M540/N1044/M427/M507/M517/M537/M420/M85/M465/M498/M446/M538/M88/M410/M98/N1051/M110/M513/M87/N1050/M527/M421/M503/M419/M448/M100/M535/M438
19,butter,,butter,spreads,F1046/K3/Q1020/F1/F1050/F1051/F1049/Q1019/F1047/Q1021/F1048
20,fruit/vegetable juice,,juice,drink,C135/C39/C16/C120/C114/C15/C1140/C111/C26/C1029/C118/C1141/C37/C80/C107/C1100/L113/L91/C38/C90/C12/C137/C116/C32/C35/C31/C33/C123/C54/C1099/C1028/C34/C96/C117/C45/C55/C1133/C112/C36/C46/C131/L156/C1132/C1098/C11
21,beef,,beef,,M1177/M1036/M1055/M1166/M1054/M1185/M1044/M1051/M1169/M1032/M1035/M1052/M1157/M1162/M1176/M1067/M1089/M1081/M1148/H143/M1064/M1038/M1221/M1048/M20/M1159/M1181/M1220/U39/M1060/M1058/M1178/M1179/M1171/M1161/M1154/M1056/M1085/M1160/M1069/M1233/M1167/M1093/M1172/M1183/M1163/M1155/M1066/M1045/M1040/M1180/M1082/M1075/M1184/M1078/N31/M1071/M1158/M1070/M1165/M1033/M1170/M1084/M1073/M1050/M1076/M1182/M1079/M1049/M1034/M1092/M1174/M1074/M1156/M1072/H146/M1077/M1047/M1037/M1083/M1041/M1068/M1175/H1015/M1173/M1053/M1080/M1039/M1031/M1059/N1/M1164/M1057/M1091/M1232/M1149/M1043/M1168/M43/M1046
22,curd,,tofu,,X1153/X1152/X1151
